No;Nama Barang ;Merek/Brand;QTY;Satuan;Tanggal SO;Letak Barang;Pengadaan;Kondisi Barang;Keterangan 
1;Pel Kecil;;4;Pcs;2/6/26;Janitor;AHP;Bagus;
2;Pel besar;;5;Pcs;2/6/26;Janitor;AHP;Bagus;
3;Sikat Lantai;Lion star;3;Pcs;2/6/26;Janitor;AHP;Bagus;
4;Sikat Lantai;Bagus;3;Pcs;2/6/26;Janitor;AHP;Bagus;
5;Wiper Lantai;;4;Pcs;2/6/26;Janitor;AHP;Bagus;
6;Sapu;Scotch Brite;4;Pcs;2/6/26;Janitor;AHP;Bagus;
7;Sikat Closet;;3;Pcs;2/6/26;Janitor;AHP;Bagus;
8;Plastik/Kantong sampah (Hitam);;3;Pcs;2/6/26;Janitor;AHP;Bagus;
9;Plastik/Kantong sampah (Kuning);;5;Pcs;2/6/26;Janitor;AHP;Bagus;
10;Kanebo;Kenmaster;4;Pcs;2/6/26;Janitor;AHP;Bagus;
11;Keset Kaki;Super star;3;Pcs;2/6/26;Janitor;AHP;Bagus;
12;Wipol 36ml (kecil/renceng);;3;Pcs;2/6/26;Janitor;AHP;Bagus;
13;Wipol 390ml (besar);;3;Pcs;2/6/26;Janitor;AHP;Bagus;
14;Sunlight 200gr;;3;Pcs;2/6/26;Janitor;AHP;Bagus;
15;Sepatu Boots Leopard;;2;Pcs;2/8/26;Rak B4;AHP;Bagus;
16;Sepatu Boots Terra;;1;Pcs;2/8/26;Rak B4;AHP;Bagus;
17;Helm Safety Biru;No brand;2;Pcs;2/8/26;Rak B1;AHP;bagus;
18;Helm Safety Kuning;No brand;1;Pcs;2/8/26;Rak B1;AHP;bagus;
19;Mata pisau bulat;STAMVICK;5;Pcs;2/8/26;Rak C2;AHP;Bagus;
20;Mata pisau tali;STHILL;6;Pcs;2/8/26;Rak C2;AHP;Bagus;
21;Grease Mekanik ;Pertamina;2;Pcs;2/8/26;Rak C2;AHP;Bagus;
22;Grease Electric;Chromax;1;Pcs;2/8/26;Rak C2;AHP;Bagus;
23;Cat besi zincromate;Nippon paint;2;Pcs;2/8/26;Rak C2;AHP;Bagus;
24;Cat Besi Nippe 2000;Nippon paint;1;Pcs;2/8/26;Rak C2;AHP;Bagus;
25;Elastex waterproof 3in1 (darkgrey);Nippon paint;1;Pcs;2/8/26;Rak C2;AHP;Bagus;
26;Elastex kasa penguat anti bocor ;Nippon paint;1;Pcs;2/8/26;Rak C2;AHP;Bagus;
27;Isolasi Hitam;Nitto tape;9;Pcs;2/8/26;Rak C2;AHP;Bagus;
28;Isolasi listrik hitam/Isolasi 1258 JR;3M;20;Pcs;2/8/26;Rak C2;AHP;Bagus;
29;Isolasi Electrical 20kV;3M Scotch Polyester;6;Pcs;2/8/26;Rak C2;AHP;Bagus;
30;Isolasi 23 - 3M Scotch 23;3M Scotch 23;10;Pcs;2/8/26;Rak C2;AHP;Bagus;
31;Spidol Putih;Snowman;2;Pcs;2/8/26;Rak C2;AHP;Bagus;
32;Spidol Hitam;Snowman;4;Pcs;2/8/26;Rak C2;AHP;Bagus;
33;Alkohol 70%;No brand;4;Pcs;2/8/26;Rak C2;AHP;Bagus;
34;Isolasi Kertas ;Nachitape;1;Pcs;2/8/26;Rak C2;AHP;Bagus;
35;Double tape;Kenko;3;Pcs;2/8/26;Rak C2;AHP;Bagus;
36;Isolasi bening;No brand;1;Pcs;2/8/26;Rak C2;AHP;Bagus;
37;Kabel ties cvs 100;Cafed;6;Pcs;2/8/26;Rak C2;AHP;Bagus;
38;Elektroda/ kawat las RB26;Kobelco;2;Pack;2/8/26;Rak C2;AHP;Bagus;
39;Vinyl Cable Kuning untuk Kabel 10mm;No brand;100;Pcs;2/8/26;Rak C2;AHP;Bagus;
40;Skun tusuk 2.5mm;No brand;100;Pcs;2/8/26;Rak C2;AHP;Bagus;
41;Handle Gas STIHL FR 3001;STIHL;1;Pcs;2/8/26;Rak C2;AHP;Bagus;
42;Amplas grid 100;No brand;7;Lembar;2/8/26;Rak C2;AHP;Bagus;
43;Amplas grid 80;No brand;3;Lembar;2/8/26;Rak C2;AHP;Bagus;
44;Kuas;Eterna;20;Pcs;2/8/26;Rak C2;AHP;Bagus;
45;Majun;No brand;30;kg;2/8/26;koridor;AHP;Bagus;
46;Refil kain pel P=80cm L = 10cm;No Brand;40;pcs;2/8/26;Rak C4;AHP;Bagus;
47;aerosol pain;No Brand;14;pcs;2/8/26;Bedeng;AHP;Bagus;
48;Racun Tikus;No Brand;10;pcs;2/8/26;Bedeng;AHP;Bagus;
49;Sealant foam;No Brand;1;pcs;2/8/26;Bedeng;AHP;Bagus;
50;WD 40;No Brand;19;pcs;2/8/26;Bedeng;AHP;Bagus;
