No;Nama Barang ;Merek/Brand;QTY;Satuan;Tanggal SO;Letak Barang;Pengadaan;Kondisi Barang;Keterangan 
1;Sparepart Huawei (mc4,kunci mc4, dll);Huawei;1;Set;2/6/26;Rak B3;Hypec;Bagus;
2;MCCB 320A 800V;TYT;3;Set;2/6/26;Rak B3;Hypec;Bagus;
3;MCCB 320A 800V;TYT;2;Set;2/6/26;Rak B3;Hypec;Rusak;
4;MCCB 320A 800V;TYT;6;Pcs;2/6/26;G. Marunda;Hypec;bagus;
5;Omada Gigabit VPN Gateway;Tp-Link;1;Pcs;2/6/26;Rak B3;AHP;bagus;
6;Lampu motor Volta ;AHP;2;Pcs;2/6/26;Rak B3;AHP;bagus;
7;Fuse DC 1000V/15A;YRO & Suntree;21;Pcs;2/6/26;Rak B3;ACP;bagus;
8;Kwh meter scheneider;Scheneider;4;Pcs;2/6/26;Rak B3;ACP;bagus;
9;Holder/Rumah Fuse 1000VDC;Suntree;8;Pcs;2/6/26;Rak B3;ACP;bagus;
10;hex bolt 8.8 M8 X 25mm ;No brand;30;Set;2/6/26;Rak B4;AHP;bagus;
11;hex bolt 8.8 M10 X 30mm ;No brand;20;Set;2/6/26;Rak B4;AHP;bagus;
12;hex bolt 8.8 M12 X 30mm ;No brand;20;Set;2/6/26;Rak B4;AHP;bagus;
13;hex bolt 8.8 M4 X 100mm ;No brand;20;Set;2/6/26;Rak B4;AHP;bagus;
14;hex bolt 8.8 M16 X 100mm ;No brand;20;Set;2/6/26;Rak B4;AHP;bagus;
15;SDL Drat 1/2 inch PVC;No brand;50;Pcs;2/6/26;Rak B5;AHP;bagus;
16;RCBO C6 230V 1P;TYT;4;Pcs;2/6/26;Rak B3;Hypec;bagus;
17;RCBO C6 230V 1P;TYT;12;Pcs;2/6/26;G. Marunda;Hypec;bagus;
18;RCBO C16 400V 3P;TYT;3;Pcs;2/6/26;Rak B3;Hypec;bagus;
19;RCBO C16 400V 3P;TYT;8;Pcs;2/6/26;G. Marunda;Hypec;bagus;
20;MCB 230V 16A 2P 1Ph;TYT;6;Pcs;2/6/26;Rak B3;Hypec;bagus;
21;MCB 230V 16A 2P 1Ph;TYT;60;Pcs;2/8/26;G. Marunda;Hypec;bagus;
22;Finger Busbar ACB;No brand;3;Pcs;2/6/26;G. Marunda;Hypec;bagus;
23;Terminal Block Switch ;No brand;22;Pcs;2/6/26;Rak B3;Hypec;bagus;
24;Terminal Block Switch ;No brand;24;Pcs;2/6/26;G. Marunda;Hypec;bagus;
25;Sensor suhu panel aux;No brand;2;Set;2/6/26;Rak B3;Hypec;bagus;
26;Selector switch ;No brand;2;Pcs;2/6/26;Rak B3;Hypec;bagus;
27;Selector switch ;No brand;8;Pcs;2/6/26;G. Marunda;Hypec;bagus;
28;Volt Meter Analog;No brand;3;Pcs;2/6/26;G. Marunda;Hypec;bagus;
29;Ampere Meter;No brand;3;Pcs;2/6/26;G. Marunda;Hypec;bagus;
30;Pilot lamp Merah;No brand;10;Pcs;2/6/26;G. Marunda;Hypec;bagus;
31;Pilot lamp Kuning;No brand;10;Pcs;2/6/26;G. Marunda;Hypec;bagus;
32;Pilot lamp Hijau;No brand;10;Pcs;2/6/26;G. Marunda;Hypec;bagus;
33;Lock Panel LV/kontrol;No brand;7;Pcs;2/6/26;Rak B3;Hypec;bagus;
34;coil Shunt Release ;No brand;30;Pcs;2/6/26;Rak B3;Hypec;bagus;
35;coil Closing Electromangnetic;No brand;31;Pcs;2/6/26;Rak B3;Hypec;bagus;
36;Selenoid coil;No brand;4;Pcs;2/6/26;Rak B3;Hypec;bagus;
37;HDMI Extender;Bafo;1;Set;2/6/26;Rak B3;AHP;bagus;
38;HTB 3100;Netlink;1;Set;2/6/26;Rak B3;AHP;bagus;
39;Kabel LAN ;No brand;100;Meter;2/6/26;Rak B1;AHP;bagus;
40;Kabel FO;No brand;100;Meter;2/6/26;Rak B1;AHP;bagus;
41;Gembok;Hona;11;Pcs;2/6/26;Rak B3;AHP;bagus;
42;Doungle Switchgear;Scheneider;10;Set;2/6/26;Rak B1;Hypec;bagus;
43;MC4 Slocable;Slocable;;Pasang;2/6/26;Rak B2;AHP;bagus;
44;MC4 Amphenol;Amphenol;;Pasang;2/6/26;Rak B2;AHP;bagus;
45;MC4 No brand;No brand;;Pasang;2/6/26;Rak B2;AHP;bagus;
46;Lightning arrester YH5WS 400A;No brand;1;Pcs;2/6/26;G. Marunda;Hypec;bagus;
47;Skun CSS 630 BLS;No brand;3;Pcs;2/6/26;G. Marunda;Hypec;bagus;
48;Kabel NYM 2X1.5mm ;Eterna;15;meter;2/6/26;Rak B3;AHP;bagus;
49;Isolator MV;No brand;3;pCS;2/6/26;G. Marunda;Hypec;bagus;
50;Switch HUB ;TP-LINK;1;Pcs;2/6/26;Rak B3;ACP;bagus;
51;Kran Air 1/2 inch;ONDA;20;Pcs;2/6/26;Rak B3;AHP;bagus;
52;Isolated HUB RS485;No brand;2;Pcs;2/6/26;Rak B3;ACP;bagus;
53;Endplate Terminal;No brand;500;Pcs;2/6/26;G. Marunda;Hypec;bagus;
54;Pressure relief;No brand;2;Pcs;2/8/26;Rak B1;Hypec;bagus;
55;Temperature meter transformer;No brand;1;Pcs;2/6/26;Rak B1;Hypec;bagus;
56;Tabung silica gel + silica gel;No brand;2;Pcs;2/6/26;Rak B1;Hypec;bagus;
57;NH Fuse NF1451-P AC1140V 10A;GRL;10;Pcs;;Rak B3;Hypec;bagus;
58;Fuse NT00-M (AC 800V - 63A);GRL;11;Pcs;;Rak B3;Hypec;bagus;
59;Terminal block konektor PCB;UPUN;75;Pcs;;Rak B3;Hypec;bagus;
60;Terminal block konektor PCB;UPUN;135;Pcs;;G. Marunda;Hypec;bagus;
61;Terminal plug konektor 4pin (hijau);No brand;51;Pcs;;Rak B3;Hypec;bagus;
62;MCB 230V 10A;ABB;2;Pcs;;Rak B3;Hypec;bagus;
63;Rumah NH Fuse 3P;GRL;2;Pcs;;Rak B3;Hypec;bagus;
64;Keylock Panel LV & MV;No brand;4;Pcs;;Rak B2;Hypec;bagus;
65;Jumper UFBI 10-5N;UPUN;73;Pcs;;Rak B3;Hypec;bagus;
66;Oil Thermostat Analog BWY-803L5A;FJLEAD/LD;1;Pcs;;Rak B1;Hypec;bagus;
67;SPD 800VAC 3P;LEITAI;7;Pcs;;Rak B2;Hypec;bagus;
68;Arrester CCTV;Suzhou Industrial;15;Pcs;;Rak B2;Hypec;bagus;
69;Stiker R;No brand;1;Pack;;Rak B2;Hypec;bagus;
70;Stiker S;No brand;1;Pack;;Rak B2;Hypec;bagus;
71;Stiker T;No brand;1;Pack;;Rak B2;Hypec;bagus;
