No;Nama Barang ;Merek/Brand;QTY;Satuan;Tanggal SO;Letak Barang;Pengadaan;Kondisi Barang;Keterangan ;
1;Kunci Inggris 450mm (Tekiro);Tekiro;4;Pcs;2/6/26;Rak A4;AHP;Bagus;;
2;Kunci Inggris 300mm (Tekiro);Tekiro;4;Pcs;2/6/26;Rak A4;AHP;Bagus;;
3;Kunci Torsi 4-20nm (Tekiro);Tekiro;2;Pcs;2/6/26;Rak A4;AHP;Bagus;;
4;Kunci Torsi 40-200nm (Tekiro);Tekiro;2;Pcs;2/6/26;Rak A4;AHP;Bagus;;
5;"Tang buaya 10"" (Tekiro)";Tekiro;4;Pcs;2/6/26;Rak A4;AHP;Bagus;;
6;"Hand Socket set 1/2"" (kunci shok) 8-24mm";Tekiro;2;Set;2/6/26;Rak A4;AHP;Bagus;;
7;Kunci Shok Extention 8-24mm;ISKU;2;Set;2/6/26;Rak A4;Hypec;Bagus;;
8;Kunci L Bintang T10-T50;Tekiro;2;Set;2/6/26;Rak A4;AHP;Bagus;;
9;Kunci Ring pas 8-32mm ;Tekiro;3;Set;2/6/26;Rak A4;AHP;Bagus;;
10;Tang Crimping Ferulles ;Taffware;2;Pcs;2/6/26;Rak A4;AHP;Bagus;;
11;Tang Kombinasi;Tekiro;4;Pcs;2/6/26;Rak A4;AHP;Bagus;;
12;Tang Lancip ;Tekiro;2;Pcs;2/6/26;Rak A4;AHP;Bagus;-1;
13;Tang Pemotong;Tekiro;3;Pcs;2/6/26;Rak A4;AHP;Bagus;-1;
14;Tang Pemotong kecil;Tekiro;3;Pcs;2/6/26;Rak A4;AHP;Bagus;-1;
15;Tang Kupas kabel;Tekiro;2;Pcs;2/6/26;Rak A4;AHP;Bagus;;
16;Tang Kupas kabel-NYA;No Brand;5;Pcs;2/6/26;Rak A4;Hypec;Bagus;;
17;Tang crimping scun kabel (KH-16);Tekiro;2;Pcs;2/6/26;Rak A4;AHP;Bagus;;
18;Tang Crimping LAN ;No Brand;2;Pcs;2/6/26;Rak A4;AHP;Bagus;;
19;Tang pemotong pipa;Camel;2;Pcs;2/6/26;Rak A4;AHP;Bagus;;
20;Obeng (+/-);Tekiro;2;Set;2/6/26;Rak A4;AHP;Bagus;;
21;Tang crimping mc4;No Brand;3;Set;2/6/26;Rak A4;AHP;Bagus;;
22;Tang crimping mc4;No Brand;3;Set;2/6/26;Rak A4;Hypec;Bagus;;
23;Meteran 100 m;YSK;1;Pcs;2/6/26;Rak A4;AHP;Bagus;;
24;Meteran 3.5 m;No Brand;1;Pcs;2/6/26;Rak A4;AHP;Bagus;;
25;jangka sorong 0-150mm;Vernier califer;1;Pcs;2/6/26;Rak A4;AHP;Bagus;;
26;Palu Besi;No Brand;2;Pcs;2/8/26;Helper;AHP;Bagus;;
27;Palu Karet ;No Brand;2;Pcs;2/6/26;Rak A4;AHP;Bagus;;
28;Penggaris siku;No Brand;1;Pcs;2/6/26;Rak A4;AHP;Bagus;;
29;Gergaji Pipa;No Brand;1;Pcs;2/6/26;Rak A4;AHP;Bagus;;
30;Impact wrench;Makita;4;Set;2/6/26;Rak A3;AHP;Bagus;;
31;Impact Driil;Makita;2;Set;2/6/26;Rak A3;AHP;Bagus;1 Dipinjam;
32;Impact Driil;Bosch;2;Set;2/6/26;Rak A3;Hypec;Bagus;;
33;Gerinda;Bosch;2;Set;2/6/26;Rak A3;AHP;Bagus;1 Dipinjam;
34;Mata Bor Set;Makita;3;Set;2/6/26;Rak A3;AHP;Bagus;;
35;Kunci Shok dan Ring pas (82PCS);Chrome;2;Set;2/6/26;Rak A3;Hypec;Bagus;;
36;Tagging/Labeling;NIMBOT;1;Pcs;2/6/26;Rak A3;Hypec;Bagus;;
37;Mesin Las 120 Ampere;Krisbow;2;Set;2/6/26;Rak A3;AHP;Bagus;;
38;Insulation Tester Digital;Kyoritsu;1;Set;2/6/26;Rak A3;AHP;Bagus;;
39;Insulation Tester Analog/High Voltage;Kyoritsu;1;Set;2/6/26;Rak A3;Hypec;Bagus;;
40;Earth Clamp Tester;Kyoritsu;1;Set;2/6/26;Rak A3;AHP;Bagus;;
41;Earth Tester;Kyoritsu;1;Set;2/6/26;Rak A2;Hypec;Bagus;;
42;Earth Tester;Kyoritsu;1;Set;2/6/26;Rak A2;AHP;Bagus;;
43;Battery Tester;Hioki;1;Set;2/6/26;Rak A3;AHP;Bagus;;
44;Seaward;Seaward;1;Set;2/6/26;Rak A2;AHP;Bagus;;
45;Seaward;Seaward;1;Set;2/6/26;Rak A2;Hypec;Bagus;;
46;Multimeter rms ;Fluke;2;Set;2/6/26;Rak A2;AHP;Bagus;;
47;Multimeter 600V;Fluke;2;Set;2/6/26;Rak A1;AHP;Bagus;;
48;Clamp Ampere 1500V;Fluke;2;Set;2/6/26;Rak A1;AHP;Bagus;;
49;Clamp miliampere;Fluke;1;Set;2/6/26;Rak A2;AHP;Bagus;;
50;Thermal cam ;UNI-T;1;Set;2/6/26;Rak A2;Hypec;Bagus;;
51;Thermal cam ;Flir;1;Set;2/6/26;Rak A2;AHP;Bagus;;
52;Infrared Thermometer;Habotest;3;Set;2/6/26;Rak A2;Hypec;Bagus;;
53;Profesional Tools;Chrome Vannadium;1;Set;2/6/26;Koridor;Hypec;Bagus;;
54;Blower;Relton;2;Set;2/6/26;Rak A1;AHP;Bagus;;
55;OLS;Jonwit;2;Set;2/6/26;Rak A1;AHP;Bagus;;
56;OPM/Optical meter/RJ45 Tester;No Brand;2;Set;2/6/26;Rak A1;AHP;Bagus;;
57;Laveling laser;Taffware;1;Set;2/6/26;Rak A1;AHP;Bagus;;
58;Sarung tangan safety rubber 20kV;ELSEC;10;Pasang;2/6/26;Rak A1;AHP;Bagus;;
59;Sarung tangan Las;Yamoto;2;Pasang;2/6/26;Rak A1;AHP;Bagus;;
60;Sarung tangan safety rubber 1000V;NOVAX;7;Pasang;2/6/26;Rak A1;Hypec;Bagus;;
61;Lampu 1000LM/Sorot;Krisbow;2;Pcs;2/6/26;Rak A2;AHP;Bagus;;
62;Lampu sorot duduk;Krisbow;1;Pcs;2/6/26;Koridor;AHP;Bagus;;
63;Tespen kontak;tjap mata;7;Pcs;2/6/26;Tim Teknisi;AHP;Bagus;Tim Teknisi 7;
64;Tespen non kontak 1000V;Krisbow;10;Pcs;2/6/26;Rak A4;AHP;Bagus;Tim Teknisi 8;
65;Headlamp HL05;LED;8;Pcs;2/6/26;Rak A2;AHP;Bagus;;
66;Headlamp F-T51;No brand;7;Pcs;2/6/26;Rak A2;AHP;Bagus;Rusak 3;
67;Senter tangan (hitam);No brand;4;Pcs;2/6/26;Rak A2;AHP;Bagus;Rusak 2;
68;Senter tangan (biru);Power Lite;2;Pcs;2/6/26;Rak A1;Hypec;Bagus;;
69;Kacamata Hitam safety;King;7;Pcs;2/6/26;Rak A1;AHP;Bagus;;
70;Kacamata bening safety;King;9;Pcs;2/6/26;Rak A1;AHP;Bagus;;
71;Body Harness;No Brand;5;Set;2/6/26;Rak B4;AHP;Bagus;;
72;Charger+Battery ;INCCO;3;Set;2/6/26;Koridor;AHP;Bagus;;
73;Cutting Steal;Bosch;1;Set;2/6/26;Koridor;AHP;Bagus;;
74;Fuse Holder;No Brand;1;Pcs;2/6/26;Rak A3;AHP;Bagus;;
75;Mini display port to VGA Converter;Ugreen;2;Pcs;2/6/26;Rak A2;AHP;Bagus;;
76;Tangga 4 Step ;No Brand;2;unit;2/8/26;Bedeng;AHP;Bagus;;
77;Tangga 6 Step;No Brand;2;unit;2/8/26;Helper;AHP;Bagus;;
78;Tangga 10 step;No Brand;1;unit;2/8/26;Bedeng;AHP;Bagus;;
79;Vacum Cleaner ;Krisbow;3;unit;2/8/26;Bedeng;AHP;Bagus;;
80;Mesin Potong rumput ;STHIL FR3001;6;unit;2/8/26;Helper;AHP;Bagus;;
81;Skop pasir (datar);No Brand;9;unit;2/8/26;Bedeng;AHP;Bagus;1 Helper;
82;Skop pasir (lancip);No Brand;9;unit;2/8/26;Helper;AHP;Bagus;4 Helper;
83;Skop tukang;No Brand;4;unit;2/9/26;Helper;AHP;Rusak;;
84;Pengki;No Brand;12;unit;2/8/26;Helper;AHP;Bagus;;
85;Automatic cleaning PV brush;No Brand;7;Unit;2/8/26;Helper;AHP;Bagus;;
86;Parang besi;No Brand;2;pcs;2/8/26;Helper;AHP;Rusak;;
87;Spary electric 16L ;No Brand;4;set;2/8/26;Bedeng;AHP;Bagus;Helper 2;
88;Gagang pel 4 meter;No Brand;10;unit;2/8/26;Helper;AHP;bagus;;
