transformer_block,string_number,module_slot,visual_row,visual_col
T02,1,1,1,1
T02,1,2,2,1
T02,1,3,2,2
T02,1,4,2,3
T02,1,5,2,4
T02,1,6,2,5
T02,1,7,2,6
T02,1,8,3,1
T02,1,9,3,2
T02,1,10,3,3
T02,1,11,3,4
T02,1,12,3,5
T02,1,13,3,6
T02,1,14,3,7
T02,1,15,3,8
T02,1,16,3,9
T02,2,1,3,11
T02,2,2,3,12
T02,2,3,3,13
T02,2,4,3,14
T02,2,5,3,15
T02,2,6,3,16
T02,1,17,4,1
T02,1,18,4,2
T02,1,19,4,3
T02,1,20,4,4
T02,1,21,4,5
T02,3,1,4,6
T02,3,2,4,7
T02,3,3,4,8
T02,3,4,4,9
T02,2,7,4,11
T02,2,8,4,12
T02,2,9,4,13
T02,2,10,4,14
T02,2,11,4,15
T02,2,12,4,16
T02,3,5,5,1
T02,3,6,5,2
T02,3,7,5,3
T02,3,8,5,4
T02,3,9,5,5
T02,3,10,5,6
T02,3,11,5,7
T02,3,12,5,8
T02,3,13,5,9
T02,2,13,5,11
T02,2,14,5,12
T02,2,15,5,13
T02,2,16,5,14
T02,2,17,5,15
T02,2,18,5,16
T02,3,14,6,1
T02,3,15,6,2
T02,3,16,6,3
T02,3,17,6,4
T02,3,18,6,5
T02,3,19,6,6
T02,3,20,6,7
T02,3,21,6,8
T02,4,3,6,9
T02,2,19,6,11
T02,2,20,6,12
T02,2,21,6,13
T02,5,1,6,14
T02,5,2,6,15
T02,5,3,6,16
T02,5,10,6,18
T02,6,1,6,19
T02,4,1,7,1
T02,4,2,7,2
T02,4,4,7,3
T02,4,5,7,4
T02,4,6,7,5
T02,4,7,7,6
T02,4,8,7,7
T02,4,9,7,8
T02,4,10,7,9
T02,5,4,7,11
T02,5,5,7,12
T02,5,6,7,13
T02,5,7,7,14
T02,5,8,7,15
T02,5,9,7,16
T02,6,2,7,18
T02,6,3,7,19
T02,6,4,7,20
T02,6,5,7,21
T02,6,6,7,22
T02,4,11,8,1
T02,4,12,8,2
T02,4,13,8,3
T02,4,14,8,4
T02,4,15,8,5
T02,4,16,8,6
T02,4,17,8,7
T02,4,18,8,8
T02,4,19,8,9
T02,5,11,8,11
T02,5,12,8,12
T02,5,13,8,13
T02,5,14,8,14
T02,5,15,8,15
T02,5,16,8,16
T02,6,7,8,18
T02,6,8,8,19
T02,6,9,8,20
T02,6,10,8,21
T02,6,11,8,22
T02,4,20,9,1
T02,4,21,9,2
T02,7,1,9,3
T02,7,2,9,4
T02,7,3,9,5
T02,7,4,9,6
T02,7,5,9,7
T02,7,6,9,8
T02,7,7,9,9
T02,8,1,9,11
T02,8,2,9,12
T02,8,3,9,13
T02,8,4,9,14
T02,8,5,9,15
T02,5,19,9,16
T02,5,17,9,18
T02,5,18,9,19
T02,6,12,9,20
T02,6,13,9,21
T02,6,14,9,22
T02,6,15,9,23
T02,6,16,9,24
T02,7,8,10,1
T02,7,9,10,2
T02,7,10,10,3
T02,7,11,10,4
T02,7,12,10,5
T02,7,13,10,6
T02,7,14,10,7
T02,7,15,10,8
T02,7,16,10,9
T02,8,6,10,11
T02,8,7,10,12
T02,8,8,10,13
T02,8,9,10,14
T02,8,10,10,15
T02,8,11,10,16
T02,5,20,10,18
T02,5,21,10,19
T02,6,17,10,20
T02,6,18,10,21
T02,6,19,10,22
T02,6,20,10,23
T02,6,21,10,24
T02,9,1,11,1
T02,9,2,11,2
T02,9,3,11,3
T02,7,17,11,4
T02,7,18,11,5
T02,7,19,11,6
T02,7,20,11,7
T02,7,21,11,8
T02,8,14,11,9
T02,8,15,11,11
T02,8,16,11,12
T02,8,17,11,13
T02,8,18,11,14
T02,8,19,11,15
T02,8,20,11,16
T02,8,12,11,18
T02,8,13,11,19
T02,11,1,11,20
T02,11,2,11,21
T02,11,3,11,22
T02,11,4,11,23
T02,11,5,11,24
T02,9,4,12,1
T02,9,5,12,2
T02,9,6,12,3
T02,9,7,12,4
T02,9,8,12,5
T02,9,9,12,6
T02,9,10,12,7
T02,9,11,12,8
T02,9,12,12,9
T02,10,3,12,11
T02,10,4,12,12
T02,10,5,12,13
T02,10,6,12,14
T02,10,7,12,15
T02,10,8,12,16
T02,10,1,12,18
T02,10,2,12,19
T02,11,6,12,20
T02,11,7,12,21
T02,11,8,12,22
T02,11,9,12,23
T02,11,10,12,24
T02,9,13,13,1
T02,9,14,13,2
T02,9,15,13,3
T02,9,16,13,4
T02,9,17,13,5
T02,9,18,13,6
T02,9,19,13,7
T02,9,20,13,8
T02,9,21,13,9
T02,10,11,13,11
T02,10,12,13,12
T02,10,13,13,13
T02,10,14,13,14
T02,10,15,13,15
T02,10,16,13,16
T02,10,9,13,18
T02,10,10,13,19
T02,11,11,13,20
T02,11,12,13,21
T02,11,13,13,22
T02,11,14,13,23
T02,11,15,13,24
T02,10,19,14,11
T02,10,20,14,12
T02,12,1,14,13
T02,12,2,14,14
T02,12,3,14,15
T02,12,4,14,16
T02,10,17,14,18
T02,10,18,14,19
T02,11,16,14,20
T02,11,17,14,21
T02,11,18,14,22
T02,12,7,15,11
T02,12,8,15,12
T02,12,9,15,13
T02,12,10,15,14
T02,12,11,15,15
T02,12,12,15,16
T02,12,5,15,18
T02,12,6,15,19
T02,11,19,15,20
T02,11,20,15,21
T02,11,21,15,22
T02,12,15,16,11
T02,12,13,16,18
T02,12,14,16,19
T02,12,16,16,20
T02,12,17,16,21
T02,12,18,17,11
T02,12,19,17,18
T02,12,20,17,19
