transformer_block,string_number,module_slot,visual_row,visual_col
T04,2,1,1,1
T04,2,2,1,4
T04,2,3,1,5
T04,2,4,1,6
T04,2,5,1,7
T04,2,6,1,8
T04,2,7,1,9
T04,2,8,2,1
T04,2,9,2,2
T04,2,10,2,3
T04,2,11,2,4
T04,2,12,2,5
T04,2,13,2,6
T04,2,14,2,7
T04,2,15,2,8
T04,2,16,2,9
T04,1,1,3,1
T04,1,2,3,2
T04,1,3,3,3
T04,2,17,3,4
T04,2,18,3,5
T04,2,19,3,6
T04,2,20,3,7
T04,2,21,3,8
T04,1,4,4,1
T04,1,5,4,2
T04,1,6,4,3
T04,1,7,4,4
T04,1,8,5,1
T04,1,9,5,2
T04,1,10,5,3
T04,1,11,5,4
T04,1,12,5,5
T04,1,13,5,6
T04,1,14,5,7
T04,1,15,5,8
T04,3,1,6,1
T04,3,2,6,2
T04,1,16,6,3
T04,1,17,6,4
T04,1,18,6,5
T04,1,19,6,6
T04,1,20,6,7
T04,1,21,6,8
T04,3,3,7,1
T04,3,4,7,2
T04,3,5,7,3
T04,3,6,7,4
T04,3,7,7,5
T04,3,8,7,6
T04,3,9,7,7
T04,3,10,7,8
T04,3,11,8,1
T04,3,12,8,2
T04,3,13,8,3
T04,3,14,8,4
T04,3,15,8,5
T04,3,16,8,6
T04,3,17,8,7
T04,3,18,8,8
T04,4,1,9,1
T04,4,2,9,2
T04,4,3,9,3
T04,4,4,9,4
T04,4,5,9,5
T04,3,19,9,6
T04,3,20,9,7
T04,3,21,9,8
T04,4,6,10,1
T04,4,7,10,2
T04,4,8,10,3
T04,4,9,10,4
T04,4,10,10,5
T04,4,11,10,6
T04,4,12,10,7
T04,4,13,10,8
T04,4,14,11,1
T04,4,15,11,2
T04,4,16,11,3
T04,4,17,11,4
T04,4,18,11,5
T04,4,19,11,6
T04,4,20,11,7
T04,4,21,11,8
T04,5,1,12,1
T04,5,2,12,2
T04,5,3,12,3
T04,5,4,12,4
T04,5,5,12,5
T04,5,6,12,6
T04,5,7,12,7
T04,5,8,13,8
T04,5,9,14,1
T04,5,10,14,2
T04,5,11,14,3
T04,5,12,14,4
T04,5,13,14,5
T04,5,14,14,6
T04,5,15,14,7
T04,5,16,14,8
T04,6,1,15,1
T04,6,2,15,2
T04,5,17,15,3
T04,5,18,15,4
T04,5,19,15,5
T04,5,20,15,6
T04,5,21,15,7
T04,6,3,16,1
T04,6,4,16,2
T04,6,5,16,3
T04,6,6,16,4
T04,6,7,16,5
T04,6,8,16,6
T04,6,9,16,7
T04,6,10,17,1
T04,6,11,17,2
T04,6,12,17,3
T04,6,13,17,4
T04,6,14,17,5
T04,6,15,17,6
T04,6,16,17,7
T04,6,17,17,8
T04,7,1,18,1
T04,7,2,18,2
T04,7,3,18,3
T04,7,4,18,4
T04,6,18,18,5
T04,6,19,18,6
T04,6,20,18,7
T04,6,21,18,8
T04,7,5,19,1
T04,7,6,19,2
T04,7,7,19,3
T04,7,8,19,4
T04,7,9,19,5
T04,7,10,19,6
T04,7,11,19,7
T04,7,12,19,8
T04,7,13,20,1
T04,7,14,20,2
T04,7,15,20,3
T04,7,16,20,4
T04,7,17,20,5
T04,7,18,20,6
T04,7,19,20,7
T04,7,20,20,8
T04,8,1,21,1
T04,8,2,21,2
T04,8,3,21,3
T04,8,4,21,4
T04,8,5,21,5
T04,8,6,21,6
T04,8,7,21,7
T04,7,21,21,8
T04,8,8,22,1
T04,8,9,22,2
T04,8,10,22,3
T04,8,11,22,4
T04,8,12,22,5
T04,8,13,22,6
T04,8,14,22,7
T04,8,15,22,8
T04,9,1,23,1
T04,9,2,23,2
T04,9,3,23,3
T04,8,16,23,4
T04,8,17,23,5
T04,8,18,23,6
T04,8,19,23,7
T04,8,20,23,8
T04,9,4,24,1
T04,9,5,24,2
T04,9,6,24,3
T04,9,7,24,4
T04,9,8,24,5
T04,9,9,24,6
T04,9,10,24,7
T04,9,11,24,8
T04,9,12,25,1
T04,9,13,25,2
T04,9,14,25,3
T04,9,15,25,4
T04,9,16,25,5
T04,9,17,25,6
T04,9,18,25,7
T04,9,19,25,8
T04,10,1,26,1
T04,10,2,26,2
T04,10,3,26,3
T04,10,4,26,4
T04,10,5,26,5
T04,10,6,26,6
T04,10,7,26,7
T04,9,20,26,8
T04,10,8,27,1
T04,10,9,27,2
T04,10,10,27,3
T04,10,11,27,4
T04,10,12,27,5
T04,10,13,27,6
T04,10,14,27,7
T04,11,1,28,1
T04,10,15,28,2
T04,10,16,28,3
T04,10,17,28,4
T04,10,18,28,5
T04,10,19,28,6
T04,10,20,28,7
T04,11,2,29,1
T04,11,3,29,2
T04,11,4,29,3
T04,11,5,29,4
T04,11,6,29,5
T04,11,7,29,6
T04,11,8,29,7
T04,11,9,30,1
T04,11,10,30,2
T04,11,11,30,3
T04,11,12,30,4
T04,11,13,30,5
T04,11,14,30,6
T04,11,15,30,7
T04,12,1,31,1
T04,11,16,31,2
T04,11,17,31,3
T04,11,18,31,4
T04,11,19,31,5
T04,11,20,31,6
T04,12,2,32,1
T04,12,3,32,2
T04,12,4,32,3
T04,12,5,32,4
T04,12,6,32,5
T04,12,7,32,6
T04,12,8,33,1
T04,12,9,33,2
T04,12,10,33,3
T04,12,11,33,4
T04,12,12,33,5
T04,12,13,33,6
T04,12,14,34,1
T04,12,15,34,2
T04,12,16,34,3
T04,12,17,34,4
T04,12,18,34,5
T04,12,19,34,6
T04,12,20,35,6
